Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP_log,Population_log,GDP_per_capita_log
Croatia,84393795502.0,84.394 billion,3.3,3896023,21662.0,0.079%,25.15875972284848,15.17546710388986,9.983361015119291
Sri Lanka,84356863744.0,84.357 billion,-2.3,22971617,3672.0,0.079%,25.15832201482702,16.949770011888482,8.208764045819667
Panama,83318176900.0,83.318 billion,7.4,4458759,18686.0,0.078%,25.145932572410885,15.310381258433772,9.835583373922255
Serbia,81342660752.0,81.343 billion,3.85,6773201,12009.0,0.077%,25.12193644838544,15.728484502054682,9.39349491507403
Lithuania,79789877416.0,79.79 billion,0.34,2854099,27956.0,0.075%,25.10266248394508,14.86426711494748,10.238422894453764
Tanzania,79062403821.0,79.062 billion,5.07,66617606,1187.0,0.074%,25.093503299386878,18.014479469940564,7.080026499922591
Côte d'Ivoire,78875489245.0,78.875 billion,6.2,31165654,2531.0,0.074%,25.091136360590454,17.254827245170922,7.836764783264067
Uruguay,77240830877.0,77.241 billion,0.37,3388081,22798.0,0.073%,25.070194051543638,15.03577453753085,10.034471954331547
Ghana,76370396722.0,76.37 billion,2.94,33787914,2260.0,0.072%,25.05886098058246,17.33561375214032,7.72356247227797
Azerbaijan,72356176471.0,72.356 billion,1.12,10318207,7012.0,0.068%,25.004866655723617,16.149420659529074,8.85552084853691
Belarus,71857382746.0,71.857 billion,3.89,9115680,7883.0,0.068%,24.9979491964127,16.025506675317263,8.97259066827261
Slovenia,69148468417.0,69.148 billion,2.11,2118396,32642.0,0.065%,24.959521746120643,14.566170228560681,10.393385716619122
Myanmar,66757619000.0,66.758 billion,0.96,54133798,1233.0,0.063%,24.924334270050107,17.80696929920349,7.1180162044653335
DR Congo,66383287003.0,66.383 billion,8.56,105789731,628.0,0.063%,24.91871115999961,18.47696402163902,6.444131256700441
Turkmenistan,60628857143.0,60.629 billion,6.3,7364438,8233.0,0.057%,24.828036807174016,15.812173433898273,9.01602720232985
Jordan,50967475352.0,50.967 billion,2.68,11439213,4456.0,0.048%,24.654453528052777,16.252557835261833,8.402231172946555
Cameroon,49279410983.0,49.279 billion,3.25,28372687,1737.0,0.046%,24.62077220366518,17.16093755026994,7.460490305825338
Uganda,48768955863.0,48.769 billion,5.34,48656601,1002.0,0.046%,24.61035979704817,17.700298061397554,6.910750787961936
Tunisia,48529595417.0,48.53 billion,0.04,12200431,3978.0,0.046%,24.605439663588623,16.31698191891264,8.288785810426928
Bahrain,46079867021.0,46.08 billion,2.98,1569666,29356.0,0.043%,24.55364196752259,14.266374052916872,10.287286297671224
Macao,45803067940.0,45.803 billion,75.06,713912,64158.0,0.043%,24.547616911434467,13.478516385158064,11.06911965638402
Bolivia,45135398009.0,45.135 billion,3.08,12244159,3686.0,0.043%,24.53293265386968,16.320559646587018,8.212568398234145
Libya,45096462972.0,45.096 billion,10.16,7305659,6173.0,0.042%,24.532069654060248,15.804159948161681,8.728102205062104
Paraguay,42956263544.0,42.956 billion,4.71,6844146,6276.0,0.040%,24.483448308154962,15.738904392431003,8.744647438317532
Cambodia,42335646896.0,42.336 billion,4.96,17423880,2430.0,0.040%,24.46889528435381,16.673352294471318,7.796057974316123
Latvia,42247850065.0,42.248 billion,1.71,1882396,22444.0,0.040%,24.46681930344302,14.448056522683862,10.018823151216033
Estonia,41291245222.0,41.291 billion,-3.02,1367196,30201.0,0.039%,24.443916334369806,14.128273216515458,10.315663426335734
Nepal,40908073367.0,40.908 billion,1.95,29694614,1378.0,0.039%,24.434593273376397,17.2064762742024,7.229113877793302
Zimbabwe,35231367886.0,35.231 billion,5.34,16340822,2156.0,0.033%,24.285202655880454,16.60917701332481,7.676473646389156
Honduras,34400509852.0,34.401 billion,3.58,10644851,3232.0,0.032%,24.26133722252407,16.180586952972106,8.081165777725433
El Salvador,34015620000.0,34.016 billion,3.51,6309624,5391.0,0.032%,24.250085667859402,15.657586803274373,8.592671652592143
Cyprus,33886930712.0,33.887 billion,2.61,1344976,25195.0,0.032%,24.2462952523088,14.111887470500116,10.13444053074182
Iceland,31325116556.0,31.325 billion,5.04,387558,80827.0,0.030%,24.167686058615477,12.867623374249971,11.300078719133387
Senegal,30848333084.0,30.848 billion,4.58,18077573,1706.0,0.029%,24.152348552936843,16.710182722509245,7.442492722794441
Georgia,30777833585.0,30.778 billion,7.83,3807492,8083.0,0.029%,24.150060579059424,15.152481525273073,8.997642078523512
Papua New Guinea,30729242919.0,30.729 billion,3.04,10389635,2958.0,0.029%,24.14848057627377,16.156319328775478,7.99260665240021
Zambia,27577956471.0,27.578 billion,5.37,20723965,1331.0,0.026%,24.040282612005154,16.84680136630555,7.194436851100335
Bosnia and Herzegovina,27514782476.0,27.515 billion,2.21,3185073,8639.0,0.026%,24.037989241811765,14.973986080627446,9.064157861798101
Trinidad and Tobago,27372285698.0,27.372 billion,1.35,1502932,18213.0,0.026%,24.032796867619194,14.222929090229862,9.809945808127765
Armenia,24085749592.0,24.086 billion,8.3,2943393,8183.0,0.023%,23.90488619935932,14.895073895251146,9.009936307631463
Albania,23547179830.0,23.547 billion,3.94,2811655,8375.0,0.022%,23.882271897838795,14.849284191570243,9.033125752550372
Malta,22328640242.0,22.329 billion,7.5,532956,41896.0,0.021%,23.82913600721397,13.186196024471405,10.642969504301549
Guinea,22199409741.0,22.199 billion,6.74,14405468,1541.0,0.021%,23.823331537272974,16.483118484110296,7.340835554123275
Mozambique,20954220984.0,20.954 billion,5.44,33635160,623.0,0.020%,23.765605942018002,17.331082536110927,6.436150368369428
Mali,20661794596.0,20.662 billion,4.66,23769127,869.0,0.019%,23.751552160224648,16.98389815376654,6.76849321164863
Mongolia,20325121394.0,20.325 billion,7.42,3431932,5922.0,0.019%,23.735123465056176,15.048634217254909,8.686598356276965
Burkina Faso,20324617845.0,20.325 billion,2.96,23025776,883.0,0.019%,23.7350986900387,16.952124885464602,6.784457062637643
Haiti,19850829758.0,19.851 billion,-1.86,11637398,1706.0,0.019%,23.71151164466691,16.26973452168984,7.442492722794441
Benin,19676049076.0,19.676 billion,6.35,14111034,1394.0,0.019%,23.702667950133357,16.46246767337131,7.240649694255466
Jamaica,19423355409.0,19.423 billion,2.2,2839786,6840.0,0.018%,23.689742066038097,14.859239607324747,8.830689198760998
Botswana,19396084498.0,19.396 billion,2.73,2480244,7820.0,0.018%,23.688337052696834,14.723867903584303,8.964567702601611
Gabon,19388402542.0,19.388 billion,2.45,2484789,7803.0,0.018%,23.687940917195952,14.725698706899692,8.962391701743002
Nicaragua,17829218219.0,17.829 billion,4.57,6823613,2613.0,0.017%,23.604104421533766,15.73589980148931,7.868636894184167
